Area fertilzed,,,,Commercial fertilizer,,,,Proportion area fertilized,,,Fertilizer Use ,,,,,,
Consolidated Subdivision,Division No.,Ag subdivision,Year,Number of farms reporting,Acres,Hectares,,Acres,Hectares,,Urea tonnes,,Urea tonnes/acre,,,Urea tonnes in division,
"Kellross No. 247, Saskatchewan [CCS470110008]",10,8,2021,81,"101,304","40,996",,0.003052442,0.003052422,,1487000,,0.04,,,4052.16,
"Touchwood No. 248, Saskatchewan [CCS470110014]",10,14,2021,52,"59,105","23,919",,0.001780923,0.001780927,,1487000,,0.04,,,2364.2,
"Mount Hope No. 279, Saskatchewan [CCS470110024]",10,24,2021,130,"187,046","75,695",,0.005635977,0.005635991,,1487000,,0.04,,,7481.84,
"Emerald No. 277, Saskatchewan [CCS470110031]",10,31,2021,85,"109,504","44,315",,0.00329952,0.003299543,,1487000,,0.04,,,4380.16,
"Foam Lake No. 276, Saskatchewan [CCS470110036]",10,36,2021,118,"167,717","67,873",,0.005053566,0.005053591,,1487000,,0.04,,,6708.68,
"Elfros No. 307, Saskatchewan [CCS470110041]",10,41,2021,64,"88,463","35,800",,0.002665523,0.002665545,,1487000,,0.04,,,3538.52,
"Big Quill No. 308, Saskatchewan [CCS470110046]",10,46,2021,78,"150,992","61,104",,0.004549616,0.004549595,,1487000,,0.04,,,6039.68,
"Prairie Rose No. 309, Saskatchewan [CCS470110052]",10,52,2021,41,"100,087","40,504",,0.003015772,0.003015789,,1487000,,0.04,,,4003.48,
"Leroy No. 339, Saskatchewan [CCS470110056]",10,56,2021,77,"162,641","65,818",,0.004900618,0.004900583,,1487000,,0.04,,,6505.64,
"Lakeside No. 338, Saskatchewan [CCS470110061]",10,61,2021,54,"125,720","50,877",,0.003788133,0.003788127,,1487000,,0.04,,,5028.8,
"Lakeview No. 337, Saskatchewan [CCS470110066]",10,66,2021,60,"119,232","48,251",,0.00359264,0.003592604,,1487000,,0.04,,,4769.28,
"Sasman No. 336, Saskatchewan [CCS470110071]",10,71,2021,95,"147,725","59,782",,0.004451176,0.004451163,,1487000,,0.04,,,5909,
"Cambria No. 6, Saskatchewan [CCS470202001]",2,1,2021,54,"133,897","54,186",,0.004034518,0.004034504,,1487000,,0.04,,,5355.88,
"Souris Valley No. 7, Saskatchewan [CCS470202006]",2,6,2021,53,"123,968","50,168",,0.003735342,0.003735338,,1487000,,0.04,,,4958.72,
"Lake Alma No. 8, Saskatchewan [CCS470202011]",2,11,2021,53,"52,441","21,222",,0.001580126,0.001580117,,1487000,,0.04,,,2097.64,
"Surprise Valley No. 9, Saskatchewan [CCS470202014]",2,14,2021,42,"54,036","21,868",,0.001628186,0.001628216,,1487000,,0.04,,,2161.44,
"Happy Valley No. 10, Saskatchewan [CCS470202018]",2,18,2021,24,"31,121","12,594",,0.000937723,0.000937706,,1487000,,0.04,,,1244.84,
"Bengough No. 40, Saskatchewan [CCS470202024]",2,24,2021,40,"50,155","20,297",,0.001511246,0.001511245,,1487000,,0.04,,,2006.2,
"The Gap No. 39, Saskatchewan [CCS470202026]",2,26,2021,52,"105,122","42,541",,0.003167484,0.003167457,,1487000,,0.04,,,4204.88,
"Laurier No. 38, Saskatchewan [CCS470202029]",2,29,2021,66,"110,464","44,703",,0.003328447,0.003328432,,1487000,,0.04,,,4418.56,
"Lomond No. 37, Saskatchewan [CCS470202033]",2,33,2021,43,"77,840","31,501",,0.002345436,0.002345457,,1487000,,0.04,,,3113.6,
"Cymri No. 36, Saskatchewan [CCS470202037]",2,37,2021,49,"133,435","53,999",,0.004020597,0.004020581,,1487000,,0.04,,,5337.4,
"Griffin No. 66, Saskatchewan [CCS470202042]",2,42,2021,51,"111,366","45,068",,0.003355625,0.003355609,,1487000,,0.04,,,4454.64,
"Weyburn No. 67, Saskatchewan [CCS470202044]",2,44,2021,91,"171,851","69,546",,0.005178129,0.005178157,,1487000,,0.04,,,6874.04,
"Brokenshell No. 68, Saskatchewan [CCS470202051]",2,51,2021,32,"40,878","16,543",,0.001231716,0.001231735,,1487000,,0.04,,,1635.12,
"Norton No. 69, Saskatchewan [CCS470202052]",2,52,2021,44,"77,415","31,329",,0.00233263,0.00233265,,1487000,,0.04,,,3096.6,
"Key West No. 70, Saskatchewan [CCS470202057]",2,57,2021,48,"79,423","32,141",,0.002393134,0.002393109,,1487000,,0.04,,,3176.92,
"Elmsthorpe No. 100, Saskatchewan [CCS470202061]",2,61,2021,48,"105,545","42,713",,0.00318023,0.003180264,,1487000,,0.04,,,4221.8,
"Caledonia No. 99, Saskatchewan [CCS470202066]",2,66,2021,42,"89,050","36,037",,0.00268321,0.002683192,,1487000,,0.04,,,3562,
"Scott No. 98, Saskatchewan [CCS470202069]",2,69,2021,69,"191,283","77,409",,0.005763645,0.005763609,,1487000,,0.04,,,7651.32,
"Wellington No. 97, Saskatchewan [CCS470202073]",2,73,2021,48,"95,814","38,775",,0.00288702,0.002887054,,1487000,,0.04,,,3832.56,
"Fillmore No. 96, Saskatchewan [CCS470202076]",2,76,2021,52,"70,513","28,536",,0.002124663,0.002124693,,1487000,,0.04,,,2820.52,
"Montmartre No. 126, Saskatchewan [CCS470206001]",6,1,2021,103,"152,595","61,753",,0.004597917,0.004597917,,1487000,,0.04,,,6103.8,
"Francis No. 127, Saskatchewan [CCS470206004]",6,4,2021,120,"185,944","75,249",,0.005602772,0.005602783,,1487000,,0.04,,,7437.76,
"Lajord No. 128, Saskatchewan [CCS470206011]",6,11,2021,77,"237,079","95,942",,0.007143547,0.007143513,,1487000,,0.04,,,9483.16,
"Bratt's Lake No. 129, Saskatchewan [CCS470206013]",6,13,2021,64,"111,263","45,027",,0.003352522,0.003352556,,1487000,,0.04,,,4450.52,
"Redburn No. 130, Saskatchewan [CCS470206016]",6,16,2021,77,"194,387","78,666",,0.005857173,0.005857201,,1487000,,0.04,,,7775.48,
