Site_ID,Date,Latitude,Longitude,Depth_m,Secchi_m,Temp,DO_mg.L,Cond_uS,Sal_ppt,pH,NH4+_ug.L,NO2+NO3_ug.L,TDN_ug.L,SRP_ug.L,TDP_ug.L,N_P,DIC_mg.L,DOC_mg.L,ChlaTRI,Fuco,Diato,Allo,Chl_b ,Pheo_B,Lutein,Echine,Cantha,Aphan,Myxo,ChlaHPLC ,Pheo_A,B-car,MC_ug.L,Group
31B,2017-08-17,51.1386,-107.53661,2,0.19,20.1,2.69,3809,2.24,8.07,1630,1160,7480,130,290,25.79310345,101.045,50.825,8.82578111,0.16006666,0.435726816,0.131824494,0.121856099,0.635697133,0.669951273,0.036823656,0.017123734,0,0,0.936236815,0.363208194,0.146769259,0.02,2017_survey
7B,2017-08-18,51.42597,-107.0004,2.7,0.78,19,7.33,820,0.46,8.43,80,27.9,681.42,20,30,22.714,34.641,8.09,30.92911857,0.276389617,0.025183152,0.119991462,0.683977,0.28858088,1.379666135,0.411815598,0.16205115,0.285675249,0,5.693705703,0.175928969,0.223881953,0.02,2017_survey
7A,2017-08-18,51.41351,-107.00191,4.5,0.5,19.7,9,1004,0.56,9.28,90,9.67,1500,20,40,37.5,41.399,17.7,182.54459,0.270154279,0.048397927,0.041707217,0.023458645,0,1.326205758,0.067218144,0.166305317,0,0.567430666,8.724834708,0,0.239775904,0.02,2017_survey
7I,2017-08-18,51.50316,-106.83583,2.3,1.04,20.4,4.35,1157,0.64,9.37,320,272.38,3640,450,580,6.275862069,71.71,34.09,40.13844858,0,0.038845224,0.03971888,0.128287708,0,1.110272471,0.805243725,0.518111323,0,0,15.27154324,0,1.241537665,0.02,2017_survey
30A,2017-08-17,51.34198,-108.04363,2.4,1.12,18.8,5.19,623,0.35,7.86,30,3.44,2280,40,130,17.53846154,54.099,47.398,24.2805772,0,0.060076957,0.123706654,0.113198873,0.08148166,0.111929108,0.016604973,0.009954023,0,0,1.874406212,0.110386804,0.023354106,0.02,2017_survey
30B,2017-08-17,51.34313,-108.06308,3.1,0.51,20.4,23.47,634,0.34,9.61,190,129.92,2070,350,470,4.404255319,38.155,22.546,73.77333849,0,0,0.062332199,0.12144028,0,0.874080456,0.293572141,0.537913436,0.284238949,0,12.22443645,0,0.72508552,0.02,2017_survey
60A,2017-08-18,51.67165,-107.29446,0.9,0.31,18.3,7.93,339.7,0.19,8.29,1310,211.79,4250,20,70,60.71428571,35.831,28.407,6.55063606,0.034430532,0.014964224,0.180909255,0.401206803,0,1.323070968,0.164178844,0.020977919,0,0,2.941920285,0,0.21049685,0.02,2017_survey
60B,2017-08-18,51.67624,-107.29423,2.2,1.8,19,9,189.8,0.1,9.79,70,39.45,1200,40,50,24,17.866,13.503,2.9055933,0,0.011971379,0.018227633,0.06372108,0.056828235,0.024852575,0.031673441,0.016782336,0,0,1.015109837,0.028870395,0.024431988,0.02,2017_survey
60C,2017-08-18,51.68453,-107.2179,2.5,0.05,20.3,23.78,980,0.54,9.36,320,146.41,5210,30,220,23.68181818,121.595,49.586,164.1134025,1.453473541,13.3290961,3.260432564,83.32128027,10.39120185,54.71839409,2.954502614,24.69671047,11.28335097,9.124960702,348.3719113,8.912683535,47.08769294,0.02,2017_survey
57D,2017-08-22,52.40304,-107.92971,3.1,0.71,16,4.21,467,0.27,9.29,90,57.96,2240,110,170,13.17647059,38.016,26.291,2.2252626,0.191911605,0.017204181,0.575335765,0.266913678,0.557249679,1.078078747,0.047140265,0.09240708,0,0.392257029,5.563031436,0.141974678,0.236661028,0,2017_survey
